"","region","state","age","sex","maritl","educ","race","status","work","hours","hourrt","earnings"
"54",3,12,58,"Female",1,"No high school",1,1,1,40,21,840
"55",3,12,19,"Female",4,"High school",1,1,1,20,12,240
"56",3,12,21,"Female",6,"Bachelor's degree",1,1,1,10,15,190
"57",3,12,55,"Female",6,"Associate degree",1,1,1,40,26.39,1055.6
"58",3,12,53,"Male",4,"Associate degree",1,1,1,40,20,800
"59",3,12,23,"Male",6,"High school",1,1,1,40,20,800
"60",3,13,42,"Female",6,"High school",2,1,1,29,15.26,513.08
"61",3,13,60,"Female",4,"High school",2,1,1,40,24,960
"62",3,13,25,"Female",6,"High school",2,1,1,40,23.25,930
"63",3,13,70,"Male",1,"High school",1,2,2,40,20,1250
"64",3,13,18,"Female",6,"High school",2,1,1,40,15.25,610
"65",3,13,16,"Female",6,"No high school",2,1,1,19,14.5,276
"66",3,13,22,"Male",6,"High school",2,1,1,40,15,600
"67",3,13,21,"Male",6,"High school",1,1,1,10,16,160
"68",3,13,63,"Female",4,"High school",2,1,1,40,8.6,344
"69",3,13,30,"Female",6,"No high school",2,1,1,40,18.95,758
"70",3,13,41,"Male",1,"No high school",1,1,1,40,20.5,820
"71",3,13,22,"Male",6,"Bachelor's degree",1,1,1,40,20,800
"72",3,13,71,"Male",1,"Bachelor's degree",1,1,1,18,18,324
"73",3,13,37,"Female",1,"High school",1,1,1,40,15,600
"74",3,13,71,"Female",3,"High school",2,1,1,40,22,1068
"75",3,13,36,"Male",4,"High school",2,1,1,40,15,600
"76",3,13,47,"Female",4,"Bachelor's degree",1,1,1,40,30,1200
"77",3,13,24,"Male",6,"High school",1,1,1,40,24,960
"78",3,13,59,"Male",6,"High school",1,1,1,40,20,800
"79",3,13,35,"Female",5,"Associate degree",2,1,1,40,9.25,370
"80",3,22,19,"Male",6,"High school",1,1,1,25,5,365
"81",3,22,17,"Male",6,"No high school",1,1,1,20,8.5,170
"82",3,22,37,"Female",6,"High school",1,1,1,40,16,736
"83",3,22,21,"Male",6,"High school",4,1,1,40,12,480
"84",3,22,20,"Female",6,"High school",1,1,1,20,10,200
"85",3,22,50,"Male",1,"High school",2,1,1,40,20.45,818
"86",3,22,50,"Male",6,"No high school",2,1,1,30,9,270
"87",3,22,27,"Female",6,"High school",1,1,1,40,10,400
"88",3,22,31,"Male",6,"High school",1,1,1,40,14.5,580
"89",1,23,52,"Male",6,"High school",7,1,1,40,30,1200
"90",1,23,17,"Female",6,"No high school",1,1,1,30,15,450
"91",1,23,17,"Female",6,"High school",1,1,1,35,15,526
"92",3,24,42,"Female",1,"High school",1,1,1,25,11.85,596
"93",3,24,30,"Male",6,"High school",1,1,1,30,15,450
"94",3,24,33,"Female",6,"Bachelor's degree",2,1,1,40,25,1280
"95",3,24,23,"Female",6,"High school",2,1,1,12,12,144
"96",1,25,22,"Female",6,"Bachelor's degree",1,1,1,40,25,1000
"97",1,25,30,"Male",6,"No high school",1,1,1,48,18,864
"98",1,25,16,"Female",6,"High school",1,1,1,35,18,630
"99",1,25,29,"Male",6,"Associate degree",1,1,1,40,32,1280
"100",1,25,19,"Male",6,"High school",1,1,1,40,22,880
"101",1,25,22,"Female",6,"High school",1,1,1,20,15,300
"102",3,28,60,"Male",1,"High school",1,1,1,40,35,1400
"103",3,28,56,"Female",1,"High school",1,1,1,40,19,760
"104",3,28,63,"Male",1,"High school",1,1,1,40,23,920
"105",3,28,24,"Male",6,"High school",2,1,1,40,30,1200
"106",1,33,43,"Male",1,"High school",1,1,1,40,34,1360
"107",1,33,44,"Female",1,"Bachelor's degree",2,1,1,40,25,1000
"108",1,33,44,"Female",1,"No high school",1,1,1,40,25,1000
"109",1,33,46,"Male",1,"Bachelor's degree",1,1,1,40,65.89,2160
"110",1,33,17,"Female",6,"No high school",1,1,1,20,15,300
"111",1,33,32,"Male",6,"Associate degree",1,1,1,40,37.5,1500
"112",1,33,47,"Male",4,"No high school",1,1,1,42,26,1170
"113",1,33,16,"Male",6,"No high school",1,1,1,24,13.75,330
"114",1,34,19,"Female",6,"High school",1,1,1,20,14.5,330
"115",1,34,66,"Female",1,"Bachelor's degree",1,2,2,40,31.4,1256
"116",1,34,19,"Female",6,"High school",1,1,1,20,13,260
"117",1,34,16,"Female",6,"No high school",1,1,1,10,13,130
"118",1,34,28,"Female",1,"Bachelor's degree",1,1,1,32,49,1570
"119",1,36,45,"Male",6,"Bachelor's degree",1,1,1,40,19,760
"120",1,36,70,"Female",6,"Bachelor's degree",1,1,1,40,31.4,1256
"121",1,36,60,"Male",6,"High school",1,1,1,35,22,770
"122",1,36,71,"Female",1,"Bachelor's degree",1,1,1,8,60,480
"123",1,36,35,"Female",6,"Bachelor's degree",1,1,1,40,26,1040
"124",1,36,40,"Male",6,"Associate degree",1,1,1,45,30,1575
"125",1,36,28,"Male",6,"Bachelor's degree",1,1,1,40,26,1040
"126",1,36,74,"Female",3,"Bachelor's degree",1,1,1,6,15,90
"127",1,36,17,"Female",6,"No high school",1,1,1,27,17,460
"128",1,36,17,"Female",6,"No high school",1,1,1,15,10,150
"129",1,36,33,"Male",1,"High school",1,1,1,35,18,1060
"130",3,37,24,"Female",6,"High school",2,1,1,40,16,640
"131",3,37,35,"Male",4,"High school",1,1,1,40,11,440
"132",3,37,35,"Male",6,"High school",1,1,1,40,15.15,756
"133",3,37,26,"Male",1,"High school",1,1,1,40,16,640
"134",3,37,26,"Male",6,"High school",1,1,1,40,16,640
"135",3,37,26,"Male",6,"No high school",1,1,1,40,26,1040
"136",3,37,23,"Male",6,"Associate degree",1,1,1,40,15,600
"137",3,37,22,"Male",6,"Associate degree",1,1,1,40,15,600
"138",3,37,51,"Male",1,"High school",1,1,1,45,17,765
"139",3,37,47,"Female",1,"High school",1,1,1,10,15,150
"140",3,37,16,"Male",6,"High school",1,1,1,45,18,810
"141",3,37,19,"Female",6,"High school",1,1,1,35,18,630
"142",3,37,25,"Female",6,"High school",1,1,1,40,17,680
"143",3,37,40,"Female",1,"Bachelor's degree",1,1,1,8,25,200
"144",3,37,23,"Female",6,"Bachelor's degree",2,1,1,22,15,330
"145",3,37,33,"Male",6,"No high school",1,1,1,20,11,220
"146",3,37,56,"Female",4,"No high school",1,1,1,40,15.5,620
"147",3,37,42,"Male",1,"High school",2,1,1,24,14,336
"148",3,37,39,"Female",6,"Associate degree",2,1,1,40,15,600
"149",3,37,32,"Male",6,"High school",2,1,1,40,25.22,1008.8
"150",3,37,29,"Female",6,"High school",2,1,1,40,12,480
"151",3,37,71,"Male",1,"Bachelor's degree",2,1,1,25,16,400
"152",2,39,33,"Female",1,"Bachelor's degree",1,1,1,8,36.2,289.6
"153",2,39,16,"Male",6,"No high school",1,1,1,12,14,168
"154",2,39,22,"Female",6,"High school",1,1,1,33,16.2,534.6
"155",2,39,55,"Male",3,"High school",1,1,1,35,20,700
"156",2,39,34,"Female",6,"High school",1,1,1,40,27.45,1098
"157",2,39,52,"Male",4,"High school",1,1,1,25,20,500
"158",2,39,22,"Female",6,"High school",2,1,1,35,18,630
"159",1,42,72,"Female",4,"Associate degree",1,1,1,14,11,154
"160",1,42,44,"Male",1,"High school",1,1,1,50,30,1500
"161",1,42,49,"Male",1,"High school",1,1,1,40,65.89,2700
"162",1,42,18,"Male",6,"High school",1,1,1,40,27.5,1100
"163",1,42,15,"Male",6,"No high school",1,1,1,30,7.5,226
"164",1,42,24,"Male",6,"High school",1,1,1,40,23,1192
"165",1,42,28,"Female",6,"High school",1,1,1,40,17.5,887.5
"166",1,42,16,"Female",6,"No high school",4,2,2,16,10,160
"167",1,42,61,"Male",4,"High school",2,1,1,40,20,1100
"168",1,44,33,"Female",6,"Associate degree",1,1,1,40,27,1080
"169",1,44,63,"Male",6,"High school",1,1,1,40,19.09,763.6
"170",1,44,21,"Female",6,"No high school",1,1,1,40,18,720
"171",1,44,19,"Male",6,"High school",1,1,1,30,13,390
"172",3,45,44,"Male",1,"Bachelor's degree",1,1,1,40,29,1160
"173",3,45,44,"Female",6,"High school",2,1,1,40,22,880
"174",3,45,16,"Male",6,"No high school",2,1,1,20,12,240
"175",3,47,39,"Female",1,"Bachelor's degree",1,1,1,40,34,1360
"176",3,47,48,"Male",1,"Bachelor's degree",1,1,1,40,42,1680
"177",3,47,70,"Female",1,"Bachelor's degree",1,1,1,20,28,560
"178",3,47,23,"Male",6,"Bachelor's degree",1,1,1,30,10,330
"179",3,47,18,"Male",6,"High school",1,1,1,20,10,300
"180",3,47,55,"Female",1,"High school",2,1,1,40,25,1600
"181",3,47,34,"Male",1,"High school",1,1,1,40,16,890
"182",3,47,72,"Female",1,"Bachelor's degree",1,1,1,10,15,150
"183",1,50,17,"Male",6,"No high school",1,1,1,25,15,375
"184",3,51,53,"Female",1,"Associate degree",1,1,1,40,38,1520
"185",3,51,17,"Female",6,"No high school",1,1,1,15,14,210
"186",3,51,73,"Male",3,"No high school",1,1,1,40,26,1040
"187",3,51,33,"Female",1,"Bachelor's degree",1,1,1,25,20,500
"188",3,51,35,"Female",1,"High school",1,1,1,24,21.5,516
"189",3,51,19,"Female",6,"High school",1,1,1,40,16,640
"190",3,54,62,"Male",4,"High school",1,1,1,40,16.3,898
"191",3,54,75,"Male",4,"High school",1,1,1,40,15.5,620
"192",3,54,32,"Male",4,"High school",1,1,1,40,13.75,550
"193",3,54,64,"Female",1,"High school",2,1,1,40,22,880
"194",3,54,59,"Male",1,"High school",2,1,1,40,29,1160
"195",3,54,60,"Male",4,"High school",2,1,1,40,33,1320
"196",3,54,37,"Female",4,"High school",1,1,1,40,15.55,622
"197",3,54,59,"Male",6,"High school",1,1,1,40,22.5,1290
"198",3,1,17,"Female",6,"No high school",1,1,1,20,14,280
"199",3,1,30,"Male",6,"High school",1,1,1,50,26,1340
"200",3,1,24,"Male",1,"No high school",1,1,1,40,2.5,400
"201",3,1,33,"Male",6,"No high school",1,1,1,40,16,640
"202",3,1,24,"Female",6,"High school",2,1,1,35,11.75,412
"203",3,1,32,"Male",6,"High school",2,1,1,40,29,1160
"204",3,1,37,"Male",1,"High school",1,1,1,40,18,720
"205",3,10,37,"Male",1,"High school",1,1,1,50,35,1750
"206",3,10,65,"Male",1,"Associate degree",2,1,1,40,11.75,470
"207",3,11,35,"Female",6,"Bachelor's degree",2,1,1,30,46,1380
"208",3,21,18,"Male",6,"No high school",1,1,1,40,16,640
"209",3,22,27,"Female",6,"High school",1,1,1,40,23,920
"210",3,22,30,"Female",6,"Associate degree",1,1,1,40,18,720
"211",3,22,63,"Male",1,"Bachelor's degree",1,1,1,45,43,2940
"212",3,22,37,"Male",1,"High school",1,1,1,40,21.5,860
"213",3,22,18,"Male",6,"High school",1,1,1,40,13,520
"214",3,22,24,"Male",6,"High school",1,1,1,50,25,1625
"215",3,22,22,"Male",6,"High school",1,1,1,30,14,420
"216",3,22,60,"Female",3,"Bachelor's degree",1,1,1,40,38.5,1540
"217",3,28,55,"Male",6,"High school",1,1,1,40,31,1240
"218",3,28,30,"Female",6,"No high school",1,1,1,40,35,1400
"219",3,28,23,"Female",6,"High school",2,1,1,40,24,960
"220",3,28,18,"Male",6,"No high school",1,1,1,35,16,932
"221",3,28,24,"Female",6,"Associate degree",1,1,1,40,14,560
"222",3,28,27,"Female",4,"High school",1,1,1,35,10,350
"223",3,28,61,"Female",1,"High school",1,1,1,40,14,560
"224",3,28,32,"Female",1,"High school",1,1,1,40,12,480
"225",3,28,32,"Male",1,"High school",1,1,1,40,21,840
"226",1,33,20,"Male",6,"High school",1,1,1,40,24,1320
"227",1,33,34,"Female",1,"High school",1,1,1,40,25.35,1014
"228",1,33,39,"Male",1,"High school",1,1,1,40,23.1,924
"229",1,33,17,"Male",6,"No high school",1,1,1,40,16,640
"230",1,34,56,"Male",1,"Bachelor's degree",1,1,1,40,15,600
"231",1,34,22,"Male",6,"High school",1,1,1,35,15,526
"232",3,45,19,"Female",6,"High school",1,1,1,30,11.5,346
"233",1,50,28,"Female",6,"High school",1,1,1,35,17.5,612.5
"234",1,50,25,"Male",6,"Bachelor's degree",1,1,1,32,19,608
"235",1,50,25,"Female",6,"Bachelor's degree",1,1,1,22,16,352
"236",3,1,65,"Male",1,"High school",1,1,1,68,20,1360
"237",4,2,22,"Male",6,"High school",1,1,1,40,20.5,922
"238",4,4,68,"Male",6,"High school",1,1,1,40,14.5,580
"239",3,5,63,"Female",1,"Bachelor's degree",1,1,1,20,57.5,1150
"240",3,5,41,"Female",1,"Bachelor's degree",1,1,1,40,15,600
"241",3,5,39,"Male",1,"Bachelor's degree",1,1,1,50,29,1830
"242",4,6,23,"Male",6,"High school",2,1,1,35,18,630
"243",4,6,20,"Female",6,"High school",2,1,1,25,15,376
"244",4,6,32,"Male",6,"Bachelor's degree",4,1,1,32,54.55,2400.16
"245",4,6,25,"Female",1,"Bachelor's degree",1,1,1,25,20,500
"246",4,6,23,"Male",6,"Bachelor's degree",4,1,1,40,28,1120
"247",4,6,27,"Female",6,"Bachelor's degree",4,1,1,40,25,1000
"248",4,6,60,"Female",6,"High school",4,1,1,40,17,680
"249",4,6,29,"Male",6,"Bachelor's degree",1,1,1,40,26,1040
"250",4,6,35,"Female",1,"Bachelor's degree",4,1,1,40,30,1200
"251",4,6,46,"Male",6,"Bachelor's degree",1,1,1,42,30,1360
"252",4,6,36,"Female",6,"Bachelor's degree",1,2,2,40,18,720
"253",4,6,63,"Female",4,"High school",1,1,1,40,25.4,1016
"254",4,6,16,"Male",6,"No high school",4,1,1,15,22,330
"255",4,6,40,"Female",1,"High school",1,1,1,40,25.9,1036
"256",4,6,37,"Female",1,"Bachelor's degree",1,1,1,40,20,800
"257",4,6,36,"Male",1,"High school",1,1,1,40,45,1800
"258",4,6,42,"Female",1,"Bachelor's degree",1,1,1,35,23,805
"259",4,8,60,"Female",3,"Associate degree",1,1,1,4,18.45,74
"260",3,10,44,"Male",1,"High school",1,1,1,40,42,1680
"261",3,10,39,"Male",1,"High school",1,1,1,40,29,1610
"262",3,11,37,"Male",6,"High school",1,1,1,30,9,270
"263",3,11,30,"Male",6,"High school",1,1,1,40,18,720
"264",3,11,29,"Female",6,"High school",1,1,1,35,19,666
"265",3,12,57,"Female",1,"High school",4,1,1,30,17,510
"266",3,12,39,"Male",1,"Associate degree",1,1,1,72,40,2960
"267",3,12,61,"Female",1,"High school",4,1,1,40,20,800
"268",3,12,19,"Male",6,"High school",2,1,1,20,11,220
"269",3,12,60,"Male",1,"Bachelor's degree",1,1,1,32,35,1120
"270",3,12,63,"Female",1,"Bachelor's degree",1,1,1,24,16,384
"271",3,12,25,"Female",6,"Bachelor's degree",1,1,1,28,20,560
"272",3,12,20,"Female",6,"High school",1,1,1,37,16.5,610.5
"273",3,12,45,"Female",5,"No high school",1,1,1,37,18,666
"274",3,13,43,"Male",1,"No high school",1,1,1,40,10,400
"275",3,13,52,"Male",1,"High school",1,1,1,40,31.8,1272
"276",3,13,53,"Female",1,"High school",1,1,1,40,26,1040
"277",3,13,45,"Female",1,"Associate degree",2,1,1,40,18.5,740
"278",3,13,37,"Male",4,"High school",2,1,1,40,20.45,818
"279",3,13,24,"Female",6,"High school",1,2,2,32,15,698
"280",3,13,42,"Male",1,"Bachelor's degree",1,1,1,40,25,1000
"281",4,15,22,"Male",6,"High school",1,2,2,10,10,100
"282",4,15,64,"Male",4,"High school",4,1,1,45,35,1650
"283",4,15,58,"Female",6,"Bachelor's degree",1,1,1,40,18,720
"284",4,15,30,"Female",5,"High school",4,1,1,40,27,1080
"285",4,15,58,"Male",1,"High school",4,1,1,40,19,760
"286",4,15,55,"Female",1,"High school",4,1,1,40,12,480
"287",4,16,24,"Male",6,"High school",1,1,1,40,20,800
"288",4,16,15,"Male",6,"High school",1,1,1,30,15,450
"289",4,16,20,"Female",6,"High school",1,1,1,30,13,390
"290",4,16,32,"Female",4,"High school",1,1,1,40,20,800
"291",4,16,53,"Female",4,"High school",1,1,1,40,13,520
"292",4,16,53,"Male",1,"Associate degree",1,1,1,22,12,264
"293",2,17,28,"Male",6,"Bachelor's degree",1,1,1,25,19.25,481.25
"294",2,17,36,"Female",1,"Associate degree",1,1,1,20,20,400
"295",2,18,52,"Female",4,"High school",1,1,1,40,19,760
"296",2,18,31,"Male",1,"Associate degree",1,1,1,40,23.01,1196.4
"297",2,18,27,"Female",1,"Associate degree",1,1,1,40,19.2,768
"298",2,18,43,"Male",1,"High school",1,1,1,40,41,1970
"299",2,18,42,"Female",1,"High school",1,1,1,40,13,520
"300",2,18,30,"Female",6,"High school",1,1,1,40,30,1200
"301",2,18,39,"Male",1,"High school",1,1,1,42,34.5,1849
"302",2,18,37,"Female",1,"Associate degree",1,2,2,24,36.5,1476
"303",2,18,49,"Female",4,"High school",1,1,1,25,12,300
"304",2,19,22,"Male",6,"High school",1,1,1,40,20.05,802.58
"305",2,19,42,"Male",1,"High school",1,1,1,40,31,2325
"306",3,21,63,"Female",1,"Associate degree",1,1,1,35,25,876
"307",3,21,64,"Male",1,"Associate degree",1,1,1,40,40,1600
"308",3,22,78,"Male",3,"High school",1,1,1,30,15,450
"309",1,23,51,"Female",4,"High school",1,1,1,4,16,64
"310",3,24,55,"Male",1,"High school",1,1,1,40,19,760
"311",1,25,54,"Female",1,"High school",1,2,2,16,16,256
"312",1,25,16,"Male",6,"No high school",1,2,2,8,15,120
"313",1,25,65,"Female",6,"High school",1,1,1,14,15.49,216.86
"314",1,25,62,"Female",6,"Bachelor's degree",1,1,1,20,15,300
"315",1,25,58,"Male",4,"High school",1,1,1,40,40,1600
"316",2,26,30,"Female",6,"Associate degree",1,1,1,40,25,1000
"317",2,26,31,"Male",1,"High school",1,1,1,40,18,720
"318",2,26,53,"Male",2,"Associate degree",1,1,1,40,19,760
"319",2,26,51,"Female",1,"Bachelor's degree",1,1,1,35,21,735
"320",2,26,17,"Female",6,"No high school",6,1,1,24,15,360
"321",2,26,24,"Male",6,"High school",1,1,1,30,16.65,500
"322",2,26,37,"Female",1,"High school",1,1,1,27,14,378
"323",2,26,16,"Male",6,"No high school",1,1,1,12,11,132
"324",2,26,31,"Male",6,"Bachelor's degree",1,1,1,40,18,720
"325",2,26,31,"Female",6,"High school",1,1,1,30,15,450
"326",2,26,26,"Male",6,"High school",1,1,1,40,18,720
"327",2,26,64,"Female",3,"High school",1,2,2,20,22.25,446
"328",2,26,63,"Male",1,"Bachelor's degree",2,1,1,25,17.55,438
"329",2,27,42,"Female",1,"Bachelor's degree",1,1,1,24,34,816
"330",2,27,34,"Female",6,"High school",2,1,1,40,24.5,980
"331",2,27,21,"Male",6,"High school",2,1,1,15,18,270
"332",2,27,42,"Female",1,"Bachelor's degree",1,1,1,32,54.15,1732.8
"333",2,27,49,"Male",4,"Bachelor's degree",1,1,1,40,22,880
"334",2,27,44,"Female",1,"Associate degree",1,1,1,40,27.5,1100
"335",2,27,17,"Male",6,"No high school",1,1,1,8,15,120
"336",3,28,23,"Female",6,"Bachelor's degree",1,1,1,40,17.5,700
"337",3,28,24,"Female",6,"High school",2,1,1,40,15,600
"338",2,29,41,"Female",1,"Associate degree",1,1,1,25,22,550
"339",2,29,61,"Female",6,"Bachelor's degree",1,1,1,40,12,1480
"340",2,29,17,"Male",6,"No high school",3,1,1,20,13,260
"341",4,30,44,"Male",1,"Bachelor's degree",1,1,1,40,25,1000
"342",4,30,63,"Female",1,"Bachelor's degree",1,1,1,40,34.5,1380
"343",4,32,39,"Female",1,"Associate degree",1,1,1,40,20,800
"344",4,32,73,"Male",4,"High school",1,1,1,32,20,640
"345",4,32,66,"Female",4,"High school",1,1,1,40,19.75,790
"346",1,33,60,"Female",1,"Bachelor's degree",1,1,1,20,15,300
"347",1,33,60,"Male",1,"Bachelor's degree",1,1,1,40,23,920
"348",1,33,56,"Female",1,"Bachelor's degree",1,1,1,16,15.4,246
"349",1,33,18,"Female",6,"High school",1,1,1,16,11,256
"350",1,33,62,"Male",1,"Bachelor's degree",1,1,1,30,12,360
"351",1,33,16,"Male",6,"No high school",1,1,1,20,13,260
"352",1,33,33,"Male",6,"High school",1,1,1,40,37.5,1500
"353",1,34,53,"Male",1,"Bachelor's degree",1,1,1,40,65.89,2160
"354",1,34,18,"Male",6,"High school",1,1,1,24,14,336
"355",1,34,24,"Male",6,"Bachelor's degree",1,1,1,40,16,664
"356",1,36,33,"Male",6,"Bachelor's degree",2,1,1,40,40,1900
"357",1,36,67,"Female",4,"Associate degree",1,1,1,40,26.45,1058
"358",1,36,36,"Male",6,"High school",1,1,1,40,23,920
"359",1,36,46,"Male",6,"High school",1,1,1,30,20,600
"360",1,36,67,"Male",6,"High school",1,1,1,24,5,120
"361",1,36,59,"Male",3,"Associate degree",1,2,2,40,19,902
"362",1,36,26,"Female",6,"High school",1,1,1,40,34,1360
"363",1,36,71,"Female",1,"Associate degree",1,1,1,8,43,344
"364",1,36,42,"Male",1,"No high school",1,1,1,40,22.5,900
"365",1,36,53,"Male",5,"High school",2,1,1,40,15,600
"366",1,36,34,"Female",1,"High school",1,1,1,40,23.29,931.6
"367",3,37,36,"Female",1,"Bachelor's degree",1,1,1,32,22.5,720
"368",3,37,34,"Male",1,"High school",1,1,1,40,21,998
"369",3,37,20,"Male",6,"High school",1,1,1,25,10,266
"370",3,37,70,"Male",5,"Bachelor's degree",1,1,1,40,14,560
"371",3,37,43,"Female",6,"Bachelor's degree",6,1,1,40,26,1040
"372",3,37,21,"Female",6,"High school",2,1,1,15,20,300
"373",2,38,49,"Female",1,"Bachelor's degree",1,1,1,40,38,1520
"374",2,38,49,"Male",1,"Associate degree",1,1,1,40,28.05,1122
"375",2,38,23,"Male",6,"Associate degree",1,1,1,40,31,1550
"376",2,38,19,"Male",6,"High school",1,1,1,40,22,880
"377",2,38,37,"Male",1,"Bachelor's degree",1,1,1,40,51,2040
"378",2,38,35,"Female",1,"Bachelor's degree",1,2,2,8,32,256
"379",2,38,38,"Male",1,"High school",1,1,1,40,32,1280
"380",2,38,35,"Female",1,"Bachelor's degree",1,1,1,40,21,840
"381",2,38,55,"Female",1,"Bachelor's degree",1,1,1,40,32.5,1300
"382",2,39,48,"Male",6,"High school",2,1,1,40,11.22,448.8
"383",2,39,19,"Female",6,"High school",1,1,1,40,17,680
"384",2,39,30,"Male",1,"Associate degree",1,1,1,45,29,1458
"385",2,39,63,"Male",1,"High school",1,2,2,40,20,800
"386",3,40,64,"Male",4,"Associate degree",1,1,1,16,15.48,247.68
"387",1,42,51,"Male",6,"High school",2,1,1,38,19.5,742
"388",1,42,59,"Female",1,"Bachelor's degree",1,1,1,20,13,260
"389",1,42,27,"Male",6,"Associate degree",1,1,1,37,18,666
"390",1,42,48,"Male",6,"High school",1,1,1,40,20,800
"391",1,42,25,"Male",6,"High school",1,1,1,25,11.25,281.25
"392",1,42,21,"Female",6,"High school",1,1,1,40,24,960
"393",1,44,57,"Male",1,"High school",1,1,1,40,33.38,1335.2
"394",3,47,56,"Male",6,"Bachelor's degree",1,1,1,43,50,2160
"395",3,47,24,"Male",6,"High school",2,1,1,40,15.5,620
"396",3,47,26,"Male",6,"High school",1,1,1,40,15.5,745
"397",3,47,20,"Male",6,"High school",1,1,1,40,15.5,620
"398",3,47,48,"Female",5,"No high school",2,1,1,40,15,600
"399",3,47,22,"Male",6,"High school",2,1,1,45,16,720
"400",3,47,32,"Female",1,"Bachelor's degree",1,1,1,40,24,960
"401",3,47,34,"Male",1,"Bachelor's degree",1,1,1,40,23.5,940
"402",3,47,36,"Male",1,"Bachelor's degree",1,1,1,40,25.27,1010.8
"403",3,48,75,"Male",1,"Bachelor's degree",1,1,1,40,65.89,3000
"404",3,48,38,"Female",6,"Bachelor's degree",1,2,2,40,32,1280
"405",3,48,21,"Female",6,"No high school",1,1,1,30,15,450
"406",3,48,26,"Female",6,"High school",1,1,1,40,15,600
"407",4,49,41,"Male",1,"High school",1,1,1,40,42,1680
"408",1,50,53,"Male",1,"High school",1,2,2,24,18,432
"409",1,50,16,"Female",6,"No high school",1,1,1,16,12,272
"410",1,50,56,"Male",1,"Bachelor's degree",1,1,1,40,34,1360
"411",1,50,57,"Female",1,"Bachelor's degree",1,1,1,40,30,1200
